index,model,power_kW,hp,current_A,speed_rpm,efficiency_pct,power_factor
88.0,Y250M-8,30.0,40.0,63.0,730.0,90.5,0.8
89.0,Y280S-8,37.0,50.0,78.2,740.0,91.0,0.79
90.0,Y280M-8,45.0,61.0,93.2,730.0,91.7,0.8
91.0,Y315S-8,55.0,75.0,113.5,740.0,92.0,0.8
92.0,Y315M-8,75.0,102.0,152.0,740.0,92.5,0.81
93.0,Y315L1-8,90.0,122.5,179.0,740.0,93.0,0.82
94.0,Y315L2-8,110.0,150.0,218.5,740.0,93.3,0.82
95.0,Y355M1-8,132.0,180.0,264.0,742.0,93.8,0.81
96.0,Y355M2-8,160.0,218.0,319.3,742.0,94.0,0.81
97.0,Y355L1-8,185.0,272.0,368.4,742.0,94.2,0.81
98.0,Y355L2-8,200.0,299.0,397.8,742.0,94.3,0.81
99.0,Y355M1-10,90.0,122.5,191.0,592.0,93.0,0.77
100.0,Y355M2-10,110.0,150.0,229.9,592.0,93.2,0.78
101.0,Y355L-10,132.0,180.0,275.0,592.0,93.5,0.78
